slug,title,word_count,under_400_words,generic_phrases,generic_phrase_count,templated_opening_shared_with_n,missing_image,is_illustration_not_photo,duplicate_image_with,cuisine,category
eish-merahrah,Eish Merahrah,528,,,0,,yes,,,Egyptian,Baking
fraisier,Fraisier,528,,,0,,,,,French,Desserts
jachnun,Jachnun,528,,,0,,,,,Israeli,Breakfast
medu-vada,Medu Vada,528,,,0,,,,,Indian,Breakfast
spaghetti-meatballs,Spaghetti and Meatballs,528,,,0,,,yes,,Italian,Dinner
fougasse,Fougasse,529,,,0,,,,,French,Baking
mahshi-cromb,Mahshi Cromb,530,,,0,,yes,,,Egyptian,Dinner
pan-con-tomate,Pan con Tomate,530,,,0,,,,,Spanish,Appetizers
saganaki,Saganaki,530,,,0,,,,,Greek,Appetizers
smorrebrod,Smørrebrød,530,,,0,,,,,Danish,Lunch
chicken-caesar-wrap,Chicken Caesar Wrap,531,,,0,,,,,American,Lunch
egg-drop-soup,Egg Drop Soup,531,,,0,,,,,Chinese,Lunch
parmigiana-bianca,Parmigiana Bianca,531,,,0,,yes,,,Italian,Dinner
sheikh-el-mahshi,Sheikh el Mahshi,531,,,0,,,yes,,Lebanese,Dinner
smashed-chickpea-sandwich,Smashed Chickpea Sandwich,531,,,0,,yes,,,American,Quick Meals
soused-herring,Soused Herring,531,,,0,,,,,British,Appetizers
syllabub,Syllabub,531,,,0,,,,,British,Desserts
yakhnet-batata,Yakhnet Batata,531,,,0,,,yes,,Lebanese,Dinner
aguachile,Aguachile,532,,,0,,,,,Mexican,Appetizers
balah-el-sham,Balah el Sham,532,,,0,,,,,Egyptian,Desserts
jjajangmyeon,Jjajangmyeon,532,,,0,,,yes,,Korean,Dinner
mozzarella-sticks,Mozzarella Sticks,532,,,0,,,,,American,Appetizers
pan-bagnat,Pan Bagnat,532,,,0,,,yes,,French,Lunch
pina-colada,Piña Colada,532,,,0,,,,,International,Drinks
sayadeya-masreya,Sayadeya Masreya,532,,,0,,,yes,,Egyptian,Dinner
aish-baladi,Aish Baladi,533,,,0,,yes,,,Egyptian,Baking
carbonade-flamande,Carbonade Flamande,533,,,0,,,,,French,Dinner
baccala-mantecato,Baccalà Mantecato,534,,,0,,,,,Italian,Appetizers
bloody-mary,Bloody Mary,534,,,0,,,,,International,Drinks
budae-jjigae,Budae Jjigae,534,,,0,,,,,Korean,Dinner
cold-brew-coffee,Cold Brew Coffee,534,,,0,,,,,International,Drinks
dacquoise,Dacquoise,534,,,0,,,,,French,Desserts
rhubarb-fool,Rhubarb Fool,534,,,0,,,,,British,Desserts
fricasse,Fricassé,535,,,0,,,,,Tunisian,Lunch
kalua-pork,Kalua Pork,535,,,0,,,,,Hawaiian,Dinner
khanom-krok,Khanom Krok,535,,,0,,yes,,,Thai,Desserts
loubieh-bzeit,Loubieh bi Zeit,535,,,0,,,yes,,Lebanese,Appetizers
negroni,Negroni,535,,,0,,,,,International,Drinks
pot-roast,Pot Roast,535,,,0,,,,,American,Dinner
sarde-a-beccafico,Sarde a Beccafico,535,,,0,,,,,Italian,Dinner
banh-xeo,Bánh Xèo,536,,,0,,,yes,,Vietnamese,Dinner
belgian-waffles,Belgian Waffles,536,,,0,,,,,Belgian,Breakfast
bossam,Bossam,536,,,0,,,yes,,Korean,Dinner
creamy-polenta,Creamy Parmesan Polenta,536,,,0,,,,,Italian,Dinner
moules-mariniere,Moules Marinière,536,,,0,,,yes,,Belgian,Dinner
salatet-raheb,Salatet Raheb,536,,,0,,,,,Lebanese,Appetizers
biscuits-buttermilk,Buttermilk Biscuits,537,,,0,,,,,American,Baking
dal-palak,Dal Palak,537,,,0,,yes,,,Indian,Dinner
queen-of-puddings,Queen of Puddings,537,,,0,,yes,,,British,Desserts
sloppy-joes,Sloppy Joes,537,,,0,,,,,American,Dinner
